air humidity (%);temperature level (F);pH
65,3;58,0;7,3
37,5;37,0;8,7
20,7;46,0;8,4
18,9;33,0;7,5
46,5;57,0;7,0
31,7;75,0;7,4
56,1;76,0;6,7
36,9;58,0;6,3
58,6;73,0;6,0
1,3;55,0;7,9
85,1;74,0;7,6
25,4;57,0;8,6
43,2;63,0;7,9
40,9;64,0;6,1
8,2;40,0;8,6
47,5;50,0;7,0
3,3;39,0;7,8
40,1;46,0;7,4
10,2;52,0;8,2
19,1;45,0;7,2
20,9;44,0;8,2
34,0;53,0;8,0
15,8;70,0;7,6
73,7;80,0;7,9
73,4;83,0;6,4
25,5;48,0;8,7
38,7;51,0;7,0
8,4;54,0;6,7
44,1;38,0;7,7
22,7;37,0;7,5
35,5;48,0;8,1
74,7;61,0;6,6
24,0;48,0;6,2
47,9;55,0;6,0
11,3;51,0;7,4
25,8;48,0;8,5
47,5;80,0;7,6
36,8;75,0;7,8
35,1;65,0;8,4
42,2;38,0;7,4
45,8;52,0;7,8
47,2;38,0;7,8
63,4;51,0;8,0
34,3;47,0;8,0
81,1;67,0;7,1
42,6;55,0;7,5
67,9;75,0;6,3
58,3;82,0;7,1
67,0;33,0;7,2
88,7;83,0;6,8
65,3;70,0;7,2
28,6;50,0;8,9
81,3;61,0;7,2
73,8;82,0;6,2
26,4;38,0;8,2
88,3;48,0;7,5
33,2;79,0;7,3
42,5;37,0;8,4
86,6;63,0;7,0
22,7;66,0;8,1
53,4;80,0;6,7
46,3;47,0;8,7
87,3;51,0;6,6
87,4;53,0;6,3
42,9;73,0;8,4
83,6;76,0;7,3
81,1;51,0;7,2
56,1;51,0;6,0
42,6;67,0;6,9
76,9;41,0;8,0
26,5;45,0;8,1
29,3;59,0;7,8
3,9;46,0;7,0
60,2;79,0;7,7
63,6;79,0;9,0
21,2;52,0;9,0
11,0;82,0;7,0
3,4;49,0;7,0
19,6;67,0;7,9
26,6;54,0;7,2
64,0;80,0;6,2
34,2;37,0;7,6
14,6;39,0;8,1
45,8;47,0;8,7
74,5;72,0;6,5
23,3;50,0;8,1
33,8;64,0;7,1
61,3;56,0;7,4
61,1;47,0;7,8
28,1;46,0;7,0
41,6;75,0;6,7
35,4;50,0;6,5
70,4;82,0;6,8
26,7;36,0;7,6
35,3;71,0;7,4
46,2;40,0;8,2
24,6;55,0;8,0
43,8;60,0;7,7
11,7;54,0;9,0
34,2;36,0;7,7
7,5;50,0;7,1
80,8;74,0;7,9
36,8;37,0;6,2
45,8;47,0;6,5
42,3;81,0;7,6
76,4;82,0;6,3
63,6;55,0;7,0
33,4;47,0;8,9
89,4;49,0;6,1
80,8;64,0;6,7
61,4;82,0;6,4
31,2;79,0;7,5
10,9;84,0;8,5
67,0;82,0;6,2
55,0;39,0;6,9
10,0;34,0;7,7
4,6;45,0;7,3
49,6;35,0;8,4
50,0;83,0;7,4
29,2;50,0;7,6
32,2;61,0;6,1
25,4;36,0;8,5
56,5;69,0;6,4
55,9;54,0;7,2
30,9;40,0;7,5
3,2;35,0;7,4
35,4;71,0;6,1
77,0;55,0;7,7
17,8;63,0;7,1
88,5;76,0;6,0
60,6;53,0;7,0
50,1;34,0;7,0
6,8;40,0;8,0
13,7;54,0;7,3
11,6;50,0;7,7
36,6;42,0;7,6
29,8;35,0;7,4
36,3;76,0;7,6
18,4;47,0;7,5
81,1;52,0;7,6
40,9;36,0;7,7
44,7;51,0;7,8
64,1;57,0;6,4
11,3;48,0;8,0
86,4;76,0;6,5
43,9;35,0;7,1
4,8;51,0;7,8
46,5;40,0;8,4
48,1;77,0;6,2
5,2;58,0;8,1
35,3;49,0;8,6
22,1;58,0;7,6
87,2;69,0;6,6
50,7;59,0;7,1
51,1;75,0;6,2
32,6;67,0;6,7
4,8;41,0;7,9
49,6;66,0;7,8
73,2;77,0;6,1
19,9;58,0;8,1
57,9;57,0;6,6
47,2;83,0;7,4
12,5;53,0;6,5
40,6;46,0;8,3
67,7;54,0;6,1
16,9;35,0;8,5
34,3;57,0;7,3
52,1;54,0;7,5
25,6;43,0;8,5
74,4;80,0;7,3
88,8;63,0;7,5
65,0;60,0;7,9
74,8;84,0;6,8
61,0;75,0;7,9
23,9;53,0;8,7
39,9;66,0;6,2
62,5;72,0;7,7
41,0;53,0;6,7
1,8;41,0;8,0
66,9;80,0;7,0
74,9;77,0;7,3
65,9;80,0;7,5
67,6;83,0;7,5
37,7;74,0;7,8
58,3;53,0;6,2
2,8;70,0;7,8
23,7;45,0;8,3
58,9;50,0;7,1
39,3;59,0;7,2
4,0;35,0;7,5
49,4;77,0;7,7
33,0;38,0;8,3
89,9;71,0;7,2
55,7;80,0;7,8
46,3;36,0;7,8
65,5;39,0;8,0
37,5;46,0;8,5
62,3;58,0;8,4
25,3;46,0;7,1
35,8;36,0;7,4
47,5;49,0;8,3
32,7;52,0;7,5
19,3;33,0;7,4
23,6;47,0;6,5
78,1;51,0;6,9
37,1;67,0;7,0
38,8;50,0;9,0
16,0;56,0;8,1
24,3;54,0;7,7
32,7;66,0;6,7
52,9;76,0;7,9
6,1;53,0;7,2
10,3;54,0;7,3
6,3;53,0;8,1
17,8;38,0;8,2
61,1;64,0;8,0
68,4;58,0;8,2
74,7;70,0;6,4
30,8;50,0;8,9
38,6;33,0;8,3
47,4;49,0;8,1
54,2;80,0;6,1
31,3;54,0;7,8
69,9;53,0;7,1
77,4;70,0;6,1
10,6;40,0;8,6
75,0;66,0;6,6
52,6;59,0;7,6
41,6;55,0;7,6
86,8;76,0;6,4
16,8;57,0;8,5
34,1;76,0;6,5
36,0;57,0;6,3
23,8;55,0;8,7
35,0;66,0;7,7
39,6;56,0;7,3
70,7;70,0;7,6
21,9;43,0;7,1
80,5;71,0;7,7
65,7;53,0;7,9
77,6;62,0;7,0
77,0;42,0;6,6
6,3;53,0;8,9
56,4;59,0;6,5
10,8;58,0;7,0
82,5;65,0;6,4
40,7;81,0;6,7
39,8;52,0;6,1
18,3;36,0;7,8
41,9;57,0;8,6
76,4;79,0;6,5
83,0;72,0;7,0
41,6;48,0;8,8
59,8;77,0;7,9
44,8;49,0;8,9
39,2;53,0;8,3
22,1;36,0;8,6
37,6;58,0;7,1
12,0;56,0;6,4
59,9;72,0;6,6
63,7;56,0;6,9
46,7;51,0;7,1
29,2;32,0;7,9
72,3;53,0;6,3
84,6;68,0;7,3
79,3;68,0;7,0
48,9;52,0;8,1
45,9;58,0;6,5
41,3;61,0;7,8
43,8;64,0;6,8
15,7;46,0;7,0
49,6;54,0;6,3
16,5;58,0;8,4
16,5;55,0;7,7
18,0;45,0;8,5
46,4;57,0;8,1
38,0;46,0;7,1
78,0;83,0;6,5
31,4;35,0;8,2
7,1;55,0;8,6
32,7;62,0;7,2
2,8;34,0;8,8
74,6;63,0;7,0
38,6;61,0;7,4
35,5;82,0;7,2
11,2;50,0;7,8
7,0;47,0;7,0
21,8;38,0;7,6
,5;58,0;6,2
32,1;72,0;6,9
71,0;76,0;7,4
49,3;52,0;8,6
21,1;39,0;7,6
48,6;52,0;7,2
,4;47,0;8,2
70,8;44,0;6,4
16,3;45,0;7,1
36,6;50,0;8,8
63,7;61,0;7,6
87,6;81,0;6,5
35,8;35,0;7,6
39,2;55,0;6,7
45,9;55,0;7,6
48,0;47,0;9,0
67,1;78,0;7,0
5,8;57,0;7,6
19,6;56,0;7,5
45,1;66,0;7,3
80,3;69,0;7,3
63,0;57,0;7,5
43,0;40,0;8,9
7,0;56,0;7,0
38,0;70,0;6,6
26,8;41,0;7,3
68,9;61,0;6,7
30,9;42,0;8,0
28,7;37,0;7,5
79,0;79,0;6,9
56,4;66,0;6,8
18,5;58,0;8,8
41,7;52,0;7,0
40,2;56,0;8,7
32,1;51,0;6,9
44,6;59,0;8,9
33,9;57,0;7,7
59,7;73,0;8,0
43,2;36,0;8,6
39,4;39,0;8,2
85,6;66,0;6,3
44,7;37,0;8,4
73,2;75,0;7,7
14,8;54,0;8,7
35,1;60,0;7,3
46,5;66,0;7,6
8,7;41,0;8,9
2,4;72,0;8,0
75,1;43,0;7,6
81,1;53,0;6,4
48,3;52,0;7,6
89,5;53,0;8,1
62,7;70,0;7,1
41,8;44,0;6,8
65,1;53,0;7,9
47,2;73,0;6,6
11,9;34,0;8,6
61,5;70,0;7,0
62,9;57,0;7,1
42,4;56,0;7,1
6,2;58,0;8,1
26,3;43,0;8,3
46,7;76,0;7,8
57,4;56,0;7,5
34,7;55,0;8,6
9,9;34,0;7,2
26,2;50,0;7,0
38,2;59,0;7,2
24,2;58,0;8,2
33,5;38,0;8,2
80,5;64,0;7,7
33,9;36,0;8,4
11,0;47,0;7,8
38,6;49,0;7,1
17,1;46,0;7,2
36,0;64,0;7,4
79,4;55,0;8,1
77,5;50,0;7,3
83,3;72,0;8,0
43,4;36,0;8,1
67,4;83,0;7,8
36,2;73,0;6,4
51,2;63,0;6,8
57,2;77,0;7,3
74,0;66,0;7,4
4,2;64,0;7,1
39,3;52,0;7,0
51,3;70,0;6,2
59,9;38,0;8,4
30,2;38,0;7,4
24,4;49,0;7,9
84,9;58,0;7,8
75,0;50,0;7,9
,5;53,0;8,2
89,9;82,0;7,3
36,0;34,0;7,8
24,7;40,0;8,0
57,3;78,0;7,9
35,4;32,0;7,2
38,6;50,0;7,2
33,6;68,0;6,5
59,3;75,0;8,2
26,6;65,0;7,6
7,0;32,0;7,7
11,4;37,0;8,2
44,4;53,0;6,6
37,2;43,0;8,8
61,3;72,0;7,1
41,6;80,0;7,4
41,2;44,0;8,3
48,7;45,0;9,0
14,7;57,0;8,1
8,9;38,0;8,4
21,5;38,0;8,6
46,5;49,0;7,1
49,8;78,0;7,7
54,6;51,0;7,5
23,5;32,0;7,6
55,6;65,0;6,3
21,9;33,0;8,9
49,4;38,0;8,1
49,0;47,0;8,6
46,8;34,0;7,8
42,5;40,0;7,8
51,1;75,0;7,2
39,8;51,0;7,1
10,7;39,0;8,4
60,1;78,0;7,5
,4;37,0;7,7
37,5;77,0;6,2
41,7;73,0;7,2
18,8;54,0;8,9
15,6;36,0;8,6
48,3;55,0;7,6
49,8;75,0;6,3
30,7;34,0;8,7
57,1;54,0;7,4
58,3;74,0;7,3
6,1;36,0;8,2
11,9;51,0;7,6
5,7;74,0;7,9
80,7;69,0;6,7
34,4;53,0;7,5
28,1;43,0;7,9
71,5;69,0;7,8
72,9;74,0;6,8
83,7;57,0;6,6
74,3;69,0;7,9
16,8;44,0;7,9
51,4;84,0;7,1
87,6;62,0;6,7
67,8;55,0;7,1
11,1;38,0;7,2
40,6;51,0;8,0
61,7;51,0;6,3
36,7;60,0;6,4
38,9;34,0;7,7
22,6;41,0;8,7
73,7;33,0;7,1
73,4;37,0;6,5
5,4;44,0;8,7
33,6;55,0;7,0
71,3;52,0;7,0
36,4;50,0;7,3
39,7;40,0;8,6
61,6;78,0;7,9
35,2;53,0;8,3
65,5;61,0;7,0
17,6;69,0;9,0
38,8;75,0;7,1
44,3;67,0;8,2
76,5;67,0;7,1
52,6;56,0;7,1
34,5;56,0;8,6
40,2;59,0;7,4
31,7;76,0;7,2
11,9;50,0;8,9
46,8;59,0;6,1
45,4;48,0;8,4
60,1;61,0;7,1
70,7;78,0;7,3
,6;55,0;7,9
88,8;80,0;7,6
57,4;32,0;8,0
45,9;50,0;8,8
52,4;54,0;6,2
36,3;45,0;7,6
19,7;55,0;7,3
75,6;66,0;7,4
45,5;39,0;7,5
29,9;44,0;8,3
47,2;59,0;6,1
13,9;73,0;7,9
62,7;65,0;7,1
32,1;64,0;7,4
23,4;36,0;7,7
72,8;55,0;7,4
25,5;57,0;8,7
64,9;73,0;7,1
77,8;64,0;7,9
14,8;76,0;7,6
73,8;55,0;6,1
39,3;43,0;7,3
51,6;74,0;7,7
85,6;60,0;6,9
42,3;55,0;7,4
73,3;72,0;7,7
23,1;53,0;7,2
49,0;54,0;7,5
79,7;76,0;6,8
21,3;48,0;8,7
70,3;76,0;6,2
49,8;79,0;6,0
24,7;45,0;8,6
57,2;70,0;7,2
16,1;50,0;8,3
37,1;35,0;7,8
65,2;67,0;7,4
36,4;51,0;6,0
38,0;34,0;8,4
16,4;38,0;7,0
72,9;69,0;6,3
41,4;53,0;8,7
72,8;72,0;6,6
14,3;40,0;8,8
30,4;53,0;8,2
25,9;52,0;9,0
54,3;55,0;6,1
20,1;76,0;7,6
60,4;60,0;7,6
86,0;76,0;8,0
85,4;62,0;8,0
79,4;67,0;7,9
30,0;53,0;7,3
20,2;46,0;7,5
47,4;78,0;7,4
44,4;52,0;6,6
89,0;73,0;6,1
38,5;62,0;7,5
59,2;55,0;6,4
4,8;56,0;8,6
29,9;43,0;8,8
31,1;60,0;6,5
23,0;42,0;8,9
54,2;81,0;8,2
13,1;35,0;8,3
25,5;47,0;8,2
27,9;39,0;7,1
,0;36,0;7,2
42,6;69,0;7,3
10,6;42,0;8,9
25,0;35,0;8,3
39,5;51,0;7,1
68,3;50,0;6,4
26,5;50,0;7,7
36,2;80,0;6,9
54,9;57,0;7,8
75,9;72,0;6,0
34,8;53,0;6,5
48,2;52,0;7,4
27,6;52,0;8,8
50,2;54,0;6,5
48,8;45,0;7,7
55,8;71,0;6,0
5,2;43,0;7,1
43,8;49,0;8,6
27,7;45,0;7,1
32,8;50,0;6,2
26,7;36,0;7,2
33,7;79,0;7,9
69,4;60,0;6,5
69,8;54,0;6,3
6,3;47,0;7,6
54,4;74,0;7,8
62,7;82,0;7,1
22,5;40,0;7,5
86,8;54,0;6,9
21,7;38,0;8,6
8,7;48,0;7,5
21,1;52,0;8,5
27,1;38,0;8,7
35,5;44,0;8,7
74,2;39,0;9,0
12,6;45,0;7,5
5,2;38,0;7,3
49,7;72,0;6,6
50,3;54,0;6,1
39,7;80,0;7,3
71,2;58,0;6,3
39,0;46,0;8,5
36,2;43,0;7,3
86,3;64,0;7,4
43,7;54,0;6,1
18,3;48,0;8,8
21,1;49,0;8,4
23,8;54,0;8,5
37,2;62,0;6,1
46,5;72,0;7,4
83,6;84,0;6,9
56,6;57,0;6,0
2,5;56,0;7,7
34,5;44,0;8,7
76,9;68,0;6,2
40,2;68,0;7,8
26,3;45,0;7,6
20,7;42,0;7,2
45,2;52,0;8,6
47,1;51,0;7,2
16,9;41,0;7,9
37,5;77,0;7,5
30,1;54,0;8,8
21,3;78,0;7,7
14,2;41,0;7,2
70,3;61,0;6,9
53,6;64,0;7,3
41,0;65,0;6,6
15,6;49,0;8,8
24,7;54,0;7,2
39,3;79,0;7,1
75,9;56,0;7,7
25,3;59,0;6,7
65,9;55,0;7,6
73,7;56,0;7,8
65,1;52,0;7,7
10,0;48,0;7,7
80,1;71,0;6,4
33,6;41,0;7,5
28,8;68,0;6,7
81,4;63,0;7,6
2,0;44,0;8,8
67,6;62,0;6,5
42,0;59,0;7,3
72,6;42,0;7,9
37,8;58,0;7,7
81,0;72,0;6,3
35,5;36,0;8,2
45,8;32,0;7,0
87,3;50,0;7,4
21,8;53,0;7,0
33,5;56,0;7,7
30,3;50,0;8,9
47,1;49,0;8,2
78,0;66,0;6,2
76,1;79,0;6,1
84,3;62,0;7,0
32,0;47,0;7,2
57,9;68,0;7,1
72,4;75,0;7,3
81,3;67,0;6,3
65,5;54,0;7,2
26,0;70,0;7,5
75,5;61,0;6,6
16,1;57,0;8,0
35,6;46,0;7,5
32,6;61,0;7,8
34,2;54,0;6,5
40,5;55,0;7,0
85,3;67,0;7,0
46,5;63,0;7,3
77,8;77,0;8,0
65,2;51,0;7,3
26,9;35,0;7,2
24,8;59,0;8,7
48,0;50,0;7,9
35,5;48,0;7,3
54,1;77,0;6,9
54,7;64,0;6,1
40,8;63,0;7,1
89,2;70,0;7,0
33,3;38,0;7,1
16,8;51,0;7,2
51,8;84,0;6,9
25,7;46,0;8,4
50,3;53,0;7,6
6,4;51,0;7,9
,3;40,0;7,3
14,4;43,0;7,4
75,1;54,0;6,6
70,9;74,0;8,9
31,3;50,0;7,4
39,9;33,0;7,9
46,1;52,0;6,7
10,4;35,0;7,6
61,4;75,0;6,4
56,6;77,0;7,5
32,8;82,0;6,5
22,9;58,0;8,6
28,7;46,0;8,4
13,0;59,0;7,8
1,9;43,0;7,6
34,9;36,0;8,5
83,6;72,0;7,2
70,4;51,0;8,7
84,5;82,0;6,1
17,8;59,0;7,5
35,2;35,0;8,5
1,7;44,0;8,2
41,9;69,0;6,2
83,7;56,0;6,4
16,0;37,0;8,1
76,7;45,0;6,2
28,3;40,0;7,4
37,7;69,0;6,8
42,5;60,0;7,9
7,9;32,0;8,4
26,5;41,0;7,8
22,3;54,0;8,5
55,1;75,0;8,0
18,9;59,0;7,9
5,4;58,0;8,1
31,4;61,0;8,7
47,4;66,0;7,3
